戒	aak
纣	xfy
糸	xiu
弗	xjk
幻	xnn
纩	xot
匕	xtn
纹	xyy
讧	yag
邡	ybh
亨	ybj
诂	ydg
哀	yeu
讦	yfh
讨	yfy
卞	yhu
讣	yhy
京	yiu
齐	yjj
吝	ykf
讪	ymh
户	yne
诩	yng
亡	ynv
亢	ywb
讥	ywn
玄	yxu
亠	yyg
讠	yyn
访	yyt
